Name,User name,Log in,Log out,Cytometer,Duration
Benon S,user2,2013-09-12 06:55:59,2013-09-12 07:36:07,LSRII,0.6688888889
Benon S,user2,2014-01-23 07:40:41,2014-01-23 08:06:06,LSRII,0.4236111111
Benon S,user2,2014-01-24 08:05:29,2014-01-24 08:48:04,LSRII,0.7097222222
Benon S,user2,2014-01-27 07:46:51,2014-01-27 08:24:47,LSRII,0.6322222222
Benon S,user2,2014-01-28 07:38:29,2014-01-28 08:19:19,LSRII,0.6805555556
Benon S,user2,2014-07-09 08:04:05,2014-07-09 08:34:32,LSRII,0.5075
Benon S,user2,2014-07-10 07:50:37,2014-07-10 08:32:11,LSRII,0.6927777778
Benon S,user2,2014-07-10 11:22:06,2014-07-10 11:23:06,LSRII,0.0166666667
Benon S,user2,2014-10-06 14:18:27,2014-10-06 14:27:07,FACSCantoII,0.1444444444
Benon S,user2,2014-10-07 07:44:51,2014-10-07 08:17:12,FACSCantoII,0.5391666667
Benon S,user2,2014-10-07 13:43:51,2014-10-07 13:50:08,FACSCantoII,0.1047222222
Benon S,user2,2014-10-08 07:39:17,2014-10-08 08:15:43,FACSCantoII,0.6072222222
Benon S,user2,2014-10-08 13:43:30,2014-10-08 15:11:03,FACSCantoII,1.4591666667
Benon S,user2,2014-10-09 07:37:44,2014-10-09 08:03:35,FACSCantoII,0.4308333333
,,,,Total,26.7136111111

Peter Frank,user3,2012-04-05 15:26:36,2012-04-05 15:27:27,LSRII,0.0141666667
Peter Frank,user3,2012-04-05 20:34:41,2012-04-06 07:46:19,LSRII,11.1938888889
Peter Frank,user3,2012-04-06 07:46:23,####-##-## ##:##:##,LSRII,0.0
Peter Frank,user3,2012-04-06 13:32:57,2012-04-06 14:36:30,LSRII,1.0591666667
Peter Frank,user3,2012-04-06 14:36:34,2012-04-06 14:42:02,LSRII,0.0911111111
Peter Frank,user3,2013-02-19 07:40:18,2013-02-19 08:40:32,LSRII,1.0038888889
Peter Frank,user3,2013-02-20 08:07:20,2013-02-20 08:14:59,LSRII,0.1275
Peter Frank,user3,2013-09-13 07:02:09,2013-09-13 07:45:47,LSRII,0.7272222222
Peter Frank,user3,2013-09-16 07:23:55,2013-09-16 08:08:24,LSRII,0.7413888889
Peter Frank,user3,2014-01-28 10:37:31,####-##-## ##:##:##,LSRII,0.0
Peter Frank,user3,2014-01-28 12:41:10,2014-01-28 15:42:40,LSRII,3.025
