User Name,Full Name,Application,Role,Department,Institution,LogIn Time,LogIn Date,LogOut Time,LogOut Date,Build Version,Cytometer,Serial No,Custom
user5,Chuck Norris,BD FACSDiva Software Version 6.1.3,Operator, , ,2:04:55 PM,April 11 2012,3:43:44 PM,April 11 2012,2009_05_13_13_29,LSRII,1, 
user5,Chuck Norris,BD FACSDiva Software Version 6.1.3,Operator, , ,3:43:48 PM,April 11 2012,5:07:49 PM,April 11 2012,2009_05_13_13_29,LSRII,1, 
user5,Chuck Norris,BD FACSDiva Software Version 6.1.3,Operator, , ,5:08:07 PM,April 11 2012,5:10:52 PM,April 11 2012,2009_05_13_13_29,LSRII,1, 
user6,Aaron Pierce,BD FACSDiva Software Version 6.1.3,Operator, , ,5:11:04 PM,April 11 2012,5:36:21 PM,April 11 2012,2009_05_13_13_29,LSRII,1, 
user6,Aaron Pierce,BD FACSDiva Software Version 6.1.3,Operator, , ,5:47:37 PM,April 11 2012,5:52:08 PM,April 11 2012,2009_05_13_13_29,LSRII,1, 
user6,Aaron Pierce,BD FACSDiva Software Version 6.1.3,Operator, , ,1:15:06 PM,April 12 2012,4:38:39 PM,April 12 2012,2009_05_13_13_29,LSRII,1, 
user6,Aaron Pierce,BD FACSDiva Software Version 6.1.3,Operator, , ,11:15:02 AM,April 13 2012,11:18:36 AM,April 13 2012,2009_05_13_13_29,LSRII,1, 
user6,Aaron Pierce,BD FACSDiva Software Version 6.1.3,Operator, , ,11:19:24 AM,April 13 2012,2:14:08 PM,April 13 2012,2009_05_13_13_29,LSRII,1, 
user6,Aaron Pierce,BD FACSDiva Software Version 6.1.3,Operator, , ,2:19:17 PM,April 13 2012,8:41:15 PM,April 13 2012,2009_05_13_13_29,LSRII,1, 
user6,Aaron Pierce,BD FACSDiva Software Version 6.1.3,Operator, , ,12:00:03 PM,April 17 2012,5:27:53 PM,April 17 2012,2009_05_13_13_29,LSRII,1, 
user6,Aaron Pierce,BD FACSDiva Software Version 6.1.3,Operator, , ,11:09:08 AM,April 18 2012,1:41:07 PM,April 18 2012,2009_05_13_13_29,LSRII,1, 
user6,Aaron Pierce,BD FACSDiva Software Version 6.1.3,Operator, , ,2:21:05 PM,April 18 2012,5:52:21 PM,April 18 2012,2009_05_13_13_29,LSRII,1, 
user6,Aaron Pierce,BD FACSDiva Software Version 6.1.3,Operator, , ,7:58:54 AM,April 19 2012,8:58:46 AM,April 19 2012,2009_05_13_13_29,LSRII,1, 
user6,Aaron Pierce,BD FACSDiva Software Version 6.1.3,Operator, , ,10:41:15 AM,April 19 2012,12:20:35 PM,April 20 2012,2009_05_13_13_29,LSRII,1, 
user7,Alex Merck,BD FACSDiva Software Version 6.1.3,Operator, , ,12:20:45 PM,April 20 2012,9:38:37 PM,April 20 2012,2009_05_13_13_29,LSRII,1, 
user7,Alex Merck,BD FACSDiva Software Version 6.1.3,Operator, , ,9:38:42 PM,April 20 2012, , ,2009_05_13_13_29,LSRII,1, 
user7,Alex Merck,BD FACSDiva Software Version 6.1.3,Operator, , ,9:23:57 AM,April 23 2012,1:56:11 PM,April 23 2012,2009_05_13_13_29,LSRII,1, 
user7,Alex Merck,BD FACSDiva Software Version 6.1.3,Operator, , ,1:56:16 PM,April 23 2012,1:58:56 PM,April 23 2012,2009_05_13_13_29,LSRII,1, 
user7,Alex Merck,BD FACSDiva Software Version 6.1.3,Operator, , ,2:29:55 PM,April 23 2012,2:36:09 PM,April 23 2012,2009_05_13_13_29,LSRII,1, 
user7,Alex Merck,BD FACSDiva Software Version 6.1.3,Operator, , ,2:37:01 PM,April 23 2012,3:25:38 PM,April 23 2012,2009_05_13_13_29,LSRII,1, 
user7,Alex Merck,BD FACSDiva Software Version 6.1.3,Administrator, , ,3:25:50 PM,April 23 2012,3:26:38 PM,April 23 2012,2009_05_13_13_29,LSRII,1, 
user7,Alex Merck,BD FACSDiva Software Version 6.1.3,Operator, , ,3:26:43 PM,April 23 2012,5:23:53 PM,April 23 2012,2009_05_13_13_29,LSRII,1, 
user7,Alex Merck,BD FACSDiva Software Version 6.1.3,Operator, , ,11:27:51 AM,April 24 2012,5:07:17 PM,April 24 2012,2009_05_13_13_29,LSRII,1, 
user7,Alex Merck,BD FACSDiva Software Version 6.1.3,Operator, , ,8:40:58 AM,April 25 2012,8:48:36 AM,April 25 2012,2009_05_13_13_29,LSRII,1, 
user7,Alex Merck,BD FACSDiva Software Version 6.1.3,Operator, , ,12:21:40 PM,April 25 2012,4:27:55 PM,April 25 2012,2009_05_13_13_29,LSRII,1, 
user7,Alex Merck,BD FACSDiva Software Version 6.1.3,Operator, , ,8:00:37 AM,April 26 2012,8:00:43 AM,April 26 2012,2009_05_13_13_29,LSRII,1, 
user8,Steve Michigan,BD FACSDiva Software Version 6.1.3,Operator, , ,8:00:47 AM,April 26 2012,1:49:24 PM,April 26 2012,2009_05_13_13_29,LSRII,1, 
user8,Steve Michigan,BD FACSDiva Software Version 6.1.3,Operator, , ,1:52:27 PM,April 26 2012,1:53:54 PM,April 26 2012,2009_05_13_13_29,LSRII,1, 
user8,Steve Michigan,BD FACSDiva Software Version 6.1.3,Operator, , ,1:54:30 PM,April 26 2012,11:18:25 PM,April 26 2012,2009_05_13_13_29,LSRII,1, 
user8,Steve Michigan,BD FACSDiva Software Version 6.1.3,Operator, , ,10:38:31 AM,April 27 2012,9:36:09 PM,April 28 2012,2009_05_13_13_29,LSRII,1, 
user8,Steve Michigan,BD FACSDiva Software Version 6.1.3,Administrator, , ,9:36:24 PM,April 28 2012,9:37:54 PM,April 28 2012,2009_05_13_13_29,LSRII,1, 
user8,Steve Michigan,BD FACSDiva Software Version 6.1.3,Administrator, , ,9:38:08 PM,April 28 2012,9:38:55 PM,April 28 2012,2009_05_13_13_29,LSRII,1, 
user8,Steve Michigan,BD FACSDiva Software Version 6.1.3,Operator, , ,9:38:58 PM,April 28 2012,10:54:40 AM,April 30 2012,2009_05_13_13_29,LSRII,1, 
user8,Steve Michigan,BD FACSDiva Software Version 6.1.3,Operator, , ,10:54:45 AM,April 30 2012,4:19:50 PM,April 30 2012,2009_05_13_13_29,LSRII,1, 
user8,Steve Michigan,BD FACSDiva Software Version 6.1.3,Operator, , ,4:19:54 PM,April 30 2012,4:20:14 PM,April 30 2012,2009_05_13_13_29,LSRII,1, 
user8,Steve Michigan,BD FACSDiva Software Version 6.1.3,Operator, , ,4:20:20 PM,April 30 2012,5:27:08 PM,April 30 2012,2009_05_13_13_29,LSRII,1, 
